Date,Open,High,Low,Close,Adj Close,Volume
2017-09-26,22322,22369,22280,22284,22284,285990000
2017-09-27,22331,22371,22255,22341,22341,342900000
2017-09-28,22307,22395,22289,22381,22381,263010000
2017-09-29,22358,22406,22333,22405,22405,274790000
2017-10-02,22423,22559,22416,22558,22558,268530000
2017-10-03,22564,22646,22563,22642,22642,238830000
2017-10-04,22646,22686,22633,22662,22662,235730000
2017-10-05,22669,22777,22655,22775,22775,246400000
2017-10-06,22762,22774,22731,22774,22774,221450000
2017-10-09,22780,22803,22739,22761,22761,310770000
2017-10-10,22785,22851,22771,22831,22831,319270000
2017-10-11,22828,22873,22822,22873,22873,316000000
2017-10-12,22855,22885,22821,22841,22841,291790000
2017-10-13,22876,22905,22856,22872,22872,259560000
2017-10-16,22893,22960,22887,22957,22957,247180000
2017-10-17,22952,23002,22948,22997,22997,273090000
2017-10-18,23087,23173,23087,23158,23158,271870000
2017-10-19,23107,23167,23053,23163,23163,350400000
2017-10-20,23205,23329,23202,23329,23329,474380000
2017-10-23,23349,23368,23274,23274,23274,456830000
2017-10-24,23347,23485,23343,23442,23442,406850000
2017-10-25,23431,23452,23251,23329,23329,399560000
2017-10-26,23381,23460,23381,23401,23401,370600000
2017-10-27,23419,23449,23353,23434,23434,518870000
2017-10-30,23406,23429,23328,23349,23349,436900000
2017-10-31,23369,23406,23334,23377,23377,388050000
2017-11-01,23443,23518,23389,23435,23435,361260000
2017-11-02,23463,23531,23351,23516,23516,348040000
2017-11-03,23550,23557,23482,23539,23539,312250000
